2021 FIBRS Reporting Agencies,Unnamed: 1,Unnamed: 2,2021 Annual Crime Data by Group,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2021 Violent Crime Offenses by Quarter,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,2021 Property Crime Offenses by Quarter,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,2021 Other Crime Offenses by Quarter,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,2022 FIBRS Reporting Agencies,2022 Annual Crime Data by Group,2022 Violent Crime Offenses by Quarter,2022 Property Crime Offenses by Quarter,2022 Other Crime Offenses by Quarter,2023 FIBRS Reporting Agencies,Unnamed: 3,2023 Annual Crime Data by Group,Unnamed: 9,2023 Violent Crime Offenses by Quarter,Unnamed: 33,2023 Property Crime Offenses by Quarter,Unnamed: 93,2023 Other Crime Offenses by Quarter,Unnamed: 231
Duval,Jacksonville Aviation Authority PD,0,0,--,3,--,32,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,1,1,--,0,0,0,2,2,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,5,6,10,4,25,--,0,0,0,0,0,--,0,0,0,0,0,--,0,1,0,4,5,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,2,0,2,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,,,,,,,,,,,,,,,
Duval,Jacksonville Sheriff's Office,"971,956","7,055",725.9,"24,784",2549.9,"35,118",3613.1,30,25,33,22,110,11.3,162,177,147,157,643,66.2,241,184,237,225,887,91.3,"1,135","1,562","1,396","1,322","5,415",557.1,725,717,798,862,"3,102",319.2,16,11,7,18,52,5.4,13,5,5,5,28,2.9,"1,449","1,317","1,232","1,594","5,592",575.3,"1,377","1,478","1,697","1,663","6,215",639.4,62,100,110,125,397,40.8,120,129,128,128,505,52.0,3,4,5,2,14,1.4,"1,336","1,446","1,526","1,535","5,843",601.2,682,680,895,779,"3,036",312.4,3,1,2,1,7,0.7,17,20,14,25,76,7.8,"2,977","3,615","3,703","3,439","13,734",1413.0,44,59,42,49,194,20.0,327,381,429,410,"1,547",159.2,47,77,74,83,281,28.9,"1,948","1,852","1,544","1,671","7,015",721.7,3,0,1,0,4,0.4,39,62,74,90,265,27.3,485,422,447,453,"1,807",185.9,113,86,121,100,420,43.2,4,9,9,13,35,3.6,19,34,25,50,128,13.2,25,32,21,23,101,10.4,48,48,79,63,238,24.5,"1,417","1,628","1,630","1,603","6,278",645.9,1,0,1,0,2,0.2,645,653,679,651,"2,628",270.4,145,66,28,30,269,27.7,5,9,4,4,22,2.3,3,0,3,3,9,0.9,0,0,0,0,0,0.0,10,11,17,20,58,6.0,,,,,,,,,,,,,,,
Duval,Neptune Beach Police Department,"7,259",2,27.6,6,82.7,26,358.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,2,27.6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,0,1,13.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,2,4,55.1,1,0,0,0,1,13.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2,0,1,1,4,55.1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3,4,6,0,13,179.1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,0,1,13.8,0,0,0,1,1,13.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,1,1,3,41.3,0,0,0,0,0,0.0,1,1,1,0,3,41.3,0,0,0,1,1,13.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,
Gilchrist,Gilchrist County Sheriff's Office,"16,061",4,24.9,17,105.8,26,161.9,0,0,0,0,0,0.0,0,0,1,2,3,18.7,0,0,0,0,0,0.0,0,0,0,1,1,6.2,2,1,0,8,11,68.5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,5,6,37.4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2,0,1,6,9,56.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5,1,0,2,8,49.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,6.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,1,0,3,5,31.1,0,0,0,0,0,0.0,2,1,0,0,3,18.7,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,
Hamilton,Hamilton County Sheriff's Office,"8,885",6,67.5,13,146.3,79,889.1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,1,4,6,67.5,3,0,3,0,6,67.5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,0,1,11.3,2,0,0,0,2,22.5,0,1,0,0,1,11.3,0,0,0,1,1,11.3,0,0,0,0,0,0.0,2,0,0,0,2,22.5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3,1,0,4,8,90.0,0,0,0,0,0,0.0,0,0,0,1,1,11.3,0,0,0,2,2,22.5,15,16,5,16,52,585.3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,11.3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5,0,0,2,7,78.8,0,0,0,2,2,22.5,2,2,0,2,6,67.5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,
Hendry,Clewiston Police Department,"7,368",6,81.4,4,54.3,62,841.5,0,0,0,0,0,0.0,0,0,1,0,1,13.6,0,0,0,0,0,0.0,0,1,1,3,5,67.9,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,0,1,13.6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,1,1,0,3,40.7,0,0,0,0,0,0.0,0,2,0,0,2,27.1,0,0,0,0,0,0.0,4,6,6,3,19,257.9,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,8,6,11,7,32,434.3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,3,0,0,4,54.3,1,0,1,0,2,27.1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,0,2,27.1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,13.6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,
Hendry,Hendry County Sheriff's Office,"33,172",78,235.1,238,717.5,679,2046.9,0,1,0,0,1,3.0,5,3,6,3,17,51.2,1,0,0,1,2,6.0,9,22,9,18,58,174.8,18,19,20,27,84,253.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5,2,5,1,13,39.2,7,9,9,4,29,87.4,0,0,0,1,1,3.0,3,3,5,4,15,45.2,0,0,0,0,0,0.0,11,32,22,26,91,274.3,0,2,1,2,5,15.1,0,0,0,0,0,0.0,0,0,0,1,1,3.0,37,77,53,38,205,618.0,0,0,1,0,1,3.0,0,1,2,8,11,33.2,0,1,1,0,2,6.0,76,57,54,42,229,690.3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,9,9,9,10,37,111.5,9,6,10,9,34,102.5,0,0,0,0,0,0.0,1,0,0,0,1,3.0,1,1,2,0,4,12.1,0,0,0,1,1,3.0,25,29,20,33,107,322.6,0,0,0,0,0,0.0,8,9,9,9,35,105.5,0,2,0,0,2,6.0,0,0,0,1,1,3.0,1,0,0,0,1,3.0,0,0,0,0,0,0.0,1,2,2,2,7,21.1,,,,,,,,,,,,,,,
Hernando,City of Brooksville,"9,165",58,632.8,195,2127.7,438,4779.1,0,1,0,0,1,10.9,2,2,2,2,8,87.3,2,1,2,0,5,54.6,9,14,7,14,44,480.1,2,6,4,5,17,185.5,0,0,0,0,0,0.0,0,0,1,0,1,10.9,12,6,19,29,66,720.1,1,8,5,3,17,185.5,2,5,2,3,12,130.9,7,6,6,5,24,261.9,0,0,1,0,1,10.9,10,10,7,11,38,414.6,4,5,5,5,19,207.3,0,0,0,0,0,0.0,0,1,0,0,1,10.9,40,50,39,46,175,1909.4,0,0,0,0,0,0.0,1,6,0,7,14,152.8,2,1,0,1,4,43.6,35,23,22,29,109,1189.3,0,0,0,0,0,0.0,0,0,1,5,6,65.5,7,11,21,14,53,578.3,4,1,1,7,13,141.8,0,0,0,1,1,10.9,2,0,0,0,2,21.8,0,2,0,1,3,32.7,0,0,0,0,0,0.0,5,11,10,15,41,447.4,0,0,0,0,0,0.0,2,5,1,3,11,120.0,1,0,1,0,2,21.8,0,1,0,0,1,10.9,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,0,2,21.8,,,,,,,,,,,,,,,
Hernando,Hernando County Sheriff's Office,"187,375",488,260.4,"1,944",1037.5,"4,256",2271.4,2,0,3,1,6,3.2,19,19,22,25,85,45.4,8,15,19,7,49,26.2,73,85,92,98,348,185.7,50,63,69,59,241,128.6,1,2,0,0,3,1.6,0,0,1,0,1,0.5,58,81,81,202,422,225.2,106,78,55,41,280,149.4,49,40,31,35,155,82.7,65,71,74,73,283,151.0,0,0,1,2,3,1.6,88,96,90,108,382,203.9,46,42,49,37,174,92.9,0,2,1,0,3,1.6,5,3,2,4,14,7.5,372,475,466,483,"1,796",958.5,0,0,0,0,0,0.0,23,31,31,59,144,76.9,5,5,8,7,25,13.3,268,252,230,258,"1,008",538.0,0,1,0,0,1,0.5,9,7,7,4,27,14.4,91,94,93,94,372,198.5,32,18,38,25,113,60.3,4,2,4,4,14,7.5,1,0,0,0,1,0.5,18,4,4,13,39,20.8,0,2,4,3,9,4.8,137,105,107,114,463,247.1,1,3,0,2,6,3.2,23,17,25,15,80,42.7,35,20,22,29,106,56.6,0,4,4,3,11,5.9,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2,10,8,4,24,12.8,,,,,,,,,,,,,,,
Hillsborough,Tampa Police Department,"391,800","2,230",569.2,"6,661",1700.1,"13,680",3491.6,13,10,10,10,43,11.0,40,46,45,38,169,43.1,81,86,68,78,313,79.9,396,407,467,435,"1,705",435.2,180,187,219,239,825,210.6,13,13,8,8,42,10.7,8,16,15,14,53,13.5,217,168,209,269,863,220.3,444,390,349,398,"1,581",403.5,106,107,96,129,438,111.8,90,86,101,112,389,99.3,3,1,7,3,14,3.6,430,453,387,417,"1,687",430.6,239,179,176,175,769,196.3,2,3,1,1,7,1.8,9,8,7,7,31,7.9,"1,291","1,322","1,372","1,408","5,393",1376.5,2,2,1,4,9,2.3,60,51,43,61,215,54.9,21,16,16,21,74,18.9,669,784,636,635,"2,724",695.3,0,0,0,0,0,0.0,32,28,28,24,112,28.6,309,296,327,308,"1,240",316.5,80,56,75,39,250,63.8,6,2,2,2,12,3.1,48,9,0,3,60,15.3,15,15,24,25,79,20.2,5,12,6,6,29,7.4,561,570,560,558,"2,249",574.0,0,0,0,2,2,0.5,248,235,185,181,849,216.7,117,79,57,63,316,80.7,0,1,0,0,1,0.3,7,1,3,3,14,3.6,0,0,0,0,0,0.0,5,4,2,3,14,3.6,,,,,,,,,,,,,,,
Marion,Marion County Sheriff's Office,"309,408",841,271.8,"2,784",899.8,"4,748",1534.5,0,1,0,0,1,0.3,41,33,32,37,143,46.2,15,6,11,17,49,15.8,134,183,164,167,648,209.4,135,120,126,136,517,167.1,0,0,0,1,1,0.3,0,0,1,0,1,0.3,152,117,67,99,435,140.6,176,159,167,107,609,196.8,33,27,29,22,111,35.9,38,45,41,18,142,45.9,2,1,0,0,3,1.0,167,169,192,208,736,237.9,58,60,60,51,229,74.0,0,0,0,0,0,0.0,1,0,2,0,3,1.0,671,844,849,801,"3,165",1022.9,0,0,0,0,0,0.0,0,0,0,0,0,0.0,4,2,2,6,14,4.5,199,176,228,163,766,247.6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,18,29,22,28,97,31.4,1,3,2,1,7,2.3,0,0,0,1,1,0.3,8,1,2,0,11,3.6,17,2,4,6,29,9.4,3,2,3,0,8,2.6,125,144,125,123,517,167.1,0,0,0,0,0,0.0,32,22,30,30,114,36.8,2,5,2,1,10,3.2,0,0,0,1,1,0.3,0,0,0,1,1,0.3,0,0,0,0,0,0.0,3,0,1,0,4,1.3,,,,,,,,,,,,,,,
Marion,Ocala Police Department,"64,243",475,739.4,"2,076",3231.5,"3,994",6217.0,2,0,2,2,6,9.3,17,17,17,19,70,109.0,13,12,16,13,54,84.1,99,87,94,65,345,537.0,68,65,84,85,302,470.1,0,0,0,0,0,0.0,0,0,0,1,1,1.6,136,127,95,124,482,750.3,64,68,64,57,253,393.8,21,19,7,13,60,93.4,2,3,2,5,12,18.7,1,1,0,0,2,3.1,212,208,192,211,823,1281.1,40,34,34,33,141,219.5,0,0,0,0,0,0.0,2,4,1,3,10,15.6,385,389,345,398,"1,517",2361.3,4,9,13,7,33,51.4,4,6,17,17,44,68.5,4,7,6,5,22,34.2,304,258,264,302,"1,128",1755.8,0,0,0,0,0,0.0,0,0,1,0,1,1.6,75,69,68,92,304,473.2,21,22,19,22,84,130.8,1,0,0,1,2,3.1,3,0,0,0,3,4.7,4,4,5,1,14,21.8,5,5,6,6,22,34.2,131,134,101,107,473,736.3,0,0,0,0,0,0.0,48,66,63,49,226,351.8,29,28,17,32,106,165.0,0,2,1,1,4,6.2,0,0,0,0,0,0.0,0,0,0,1,1,1.6,0,0,0,0,0,0.0,,,,,,,,,,,,,,,
Miami-Dade,Aventura Police Department,"40,371",35,86.7,415,1028.0,310,767.9,0,0,0,0,0,0.0,2,0,1,0,3,7.4,0,0,5,13,18,44.6,0,0,6,8,14,34.7,1,1,5,9,16,39.6,0,1,0,5,6,14.9,0,0,0,0,0,0.0,5,1,55,161,222,549.9,1,0,7,37,45,111.5,2,0,1,9,12,29.7,0,1,0,5,6,14.9,0,0,0,0,0,0.0,6,4,19,65,94,232.8,0,0,2,12,14,34.7,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,1,17,48,67,166.0,0,0,0,0,0,0.0,0,0,2,7,9,22.3,0,0,0,2,2,5.0,1,8,8,19,36,89.2,0,0,1,0,1,2.5,0,0,0,0,0,0.0,6,11,15,21,53,131.3,0,4,0,2,6,14.9,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,5,6,14.9,2,8,2,5,17,42.1,1,2,6,26,35,86.7,0,0,0,0,0,0.0,2,10,11,16,39,96.6,8,9,3,19,39,96.6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,
Miami-Dade,Coral Gables Police Department,"50,193",52,103.6,"1,025",2042.1,676,1346.8,0,0,0,0,0,0.0,0,1,2,3,6,12.0,0,4,0,2,6,12.0,6,6,12,16,40,79.7,26,11,20,23,80,159.4,1,1,0,0,2,4.0,1,1,0,1,3,6.0,36,39,34,33,142,282.9,66,56,52,85,259,516.0,12,13,14,27,66,131.5,21,17,27,26,91,181.3,0,0,0,0,0,0.0,68,71,91,73,303,603.7,18,14,23,24,79,157.4,0,0,2,0,2,4.0,0,0,0,0,0,0.0,28,56,37,39,160,318.8,0,0,0,0,0,0.0,19,18,17,24,78,155.4,0,1,0,0,1,2.0,24,13,14,9,60,119.5,0,0,0,0,0,0.0,0,0,2,1,3,6.0,41,31,49,33,154,306.8,11,3,9,15,38,75.7,0,0,3,2,5,10.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2,1,0,0,3,6.0,52,37,43,29,161,320.8,0,0,0,0,0,0.0,1,3,1,2,7,13.9,1,0,0,2,3,6.0,0,0,0,1,1,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,
Miami-Dade,Doral Police Department,"80,703",132,163.6,"1,377",1706.3,"1,413",1750.9,0,0,0,1,1,1.2,8,3,3,7,21,26.0,3,10,3,6,22,27.3,25,16,25,22,88,109.0,31,16,19,14,80,99.1,1,1,0,2,4,5.0,1,5,3,2,11,13.6,87,54,54,84,279,345.7,59,42,53,64,218,270.1,47,23,43,37,150,185.9,5,7,8,8,28,34.7,0,0,0,0,0,0.0,134,118,103,111,466,577.4,43,28,34,36,141,174.7,0,0,0,1,1,1.2,1,0,0,0,1,1.2,125,112,107,110,454,562.6,0,0,0,0,0,0.0,10,14,12,5,41,50.8,0,1,4,3,8,9.9,39,30,48,12,129,159.8,0,0,0,0,0,0.0,5,3,2,13,23,28.5,133,105,113,100,451,558.8,11,10,8,6,35,43.4,3,3,1,1,8,9.9,1,0,1,0,2,2.5,0,0,0,2,2,2.5,9,7,10,9,35,43.4,41,50,46,46,183,226.8,0,0,0,0,0,0.0,14,11,8,7,40,49.6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,
Miami-Dade,South Miami Police Department,"12,071",84,695.9,333,2758.7,307,2543.3,0,0,0,0,0,0.0,3,1,1,4,9,74.6,6,2,3,4,15,124.3,13,17,16,14,60,497.1,22,14,17,13,66,546.8,0,1,0,3,4,33.1,2,1,1,2,6,49.7,12,7,9,7,35,290.0,19,17,20,21,77,637.9,4,5,5,2,16,132.5,3,0,1,1,5,41.4,0,0,0,0,0,0.0,30,24,29,17,100,828.4,4,6,10,4,24,198.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,27,19,17,21,84,695.9,0,0,0,0,0,0.0,5,8,8,8,29,240.2,2,0,0,2,4,33.1,13,16,10,6,45,372.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,8,15,17,13,53,439.1,0,1,2,5,8,66.3,0,0,0,0,0,0.0,0,0,0,1,1,8.3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,23,14,25,14,76,629.6,0,0,0,0,0,0.0,2,1,3,1,7,58.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,
Palm Beach,North Palm Beach Police Department,"13,167",7,53.2,67,508.8,100,759.5,0,0,0,0,0,0.0,0,0,0,1,1,7.6,0,0,1,1,2,15.2,0,2,0,2,4,30.4,1,2,1,0,4,30.4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6,1,6,5,18,136.7,4,0,2,2,8,60.8,1,0,3,0,4,30.4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,4,4,6,8,22,167.1,1,1,2,7,11,83.5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6,8,10,9,33,250.6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,7.6,11,16,8,6,41,311.4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3,2,2,1,8,60.8,1,0,0,0,1,7.6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,7.6,0,0,0,1,1,7.6,2,0,4,5,11,83.5,0,0,0,0,0,0.0,1,0,1,1,3,22.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,
Palm Beach,West Palm Beach Police Department,"119,255",958,803.3,"3,049",2556.7,"3,203",2685.8,2,7,2,8,19,15.9,35,32,29,37,133,111.5,60,50,50,54,214,179.4,126,184,168,114,592,496.4,98,92,91,107,388,325.4,3,4,1,0,8,6.7,1,2,0,0,3,2.5,123,141,148,114,526,441.1,204,144,149,182,679,569.4,127,112,78,95,412,345.5,29,39,46,34,148,124.1,0,0,2,0,2,1.7,168,151,84,122,525,440.2,113,81,77,87,358,300.2,0,0,0,1,1,0.8,2,2,2,5,11,9.2,341,320,279,290,"1,230",1031.4,0,0,0,0,0,0.0,13,11,11,23,58,48.6,13,9,4,2,28,23.5,102,108,93,65,368,308.6,0,0,0,0,0,0.0,5,12,11,12,40,33.5,164,142,103,116,525,440.2,15,6,14,10,45,37.7,0,3,2,5,10,8.4,39,4,15,24,82,68.8,8,3,9,1,21,17.6,3,1,4,0,8,6.7,132,151,137,103,523,438.6,0,0,0,0,0,0.0,52,55,46,41,194,162.7,32,14,5,3,54,45.3,0,0,0,0,0,0.0,2,0,1,0,3,2.5,0,0,0,1,1,0.8,0,0,1,0,1,0.8,,,,,,,,,,,,,,,
Pinellas,Belleair Beach Police Department,"1,632",1,61.3,11,674.0,25,1531.9,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,0,1,61.3,1,0,1,1,3,183.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,1,3,5,306.4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,2,122.5,0,0,1,0,1,61.3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3,1,3,1,8,490.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,4,2,7,428.9,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,2,3,183.8,0,0,0,0,0,0.0,2,0,0,0,2,122.5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,61.3,1,2,1,0,4,245.1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,
Pinellas,Belleair Bluffs Police Department,"2,317",5,215.8,28,1208.5,43,1855.8,0,0,0,0,0,0.0,1,1,0,0,2,86.3,0,0,0,0,0,0.0,2,1,0,0,3,129.5,0,0,1,0,1,43.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2,0,11,2,15,647.4,0,1,1,0,2,86.3,1,0,0,0,1,43.2,0,0,0,0,0,0.0,1,2,0,0,3,129.5,0,2,1,3,6,259.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,4,5,3,8,20,863.2,0,0,0,0,0,0.0,1,0,0,1,2,86.3,0,0,0,0,0,0.0,0,1,0,1,2,86.3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2,3,4,4,13,561.1,0,2,1,0,3,129.5,0,0,0,1,1,43.2,0,1,0,0,1,43.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,0,1,43.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,
